City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,ewa beach,21.3156,-158.0072,78.75,75,40,11.5,US,1675802151
251,katsuura,35.1333,140.3,50.34,83,100,17.98,JP,1675801921
252,zhigansk,66.7697,123.3711,-52.24,100,94,4.34,RU,1675802199
253,port hardy,50.6996,-127.4199,44.78,87,75,4.61,CA,1675802200
254,vicuna,-30.0319,-70.7081,93.78,40,0,8.81,CL,1675802142
255,camacha,33.0833,-16.3333,56.62,67,75,13.8,PT,1675801949
256,mar del plata,-38.0023,-57.5575,84.83,88,4,14.0,AR,1675801654
257,bilma,18.6853,12.9164,69.76,19,76,6.53,NE,1675801918
258,ndele,8.4109,20.6473,77.34,14,18,5.79,CF,1675802201
259,chelmza,53.1846,18.6047,35.22,95,98,1.03,PL,1675802201
260,vila franca do campo,37.7167,-25.4333,55.81,82,72,13.31,PT,1675801972
261,tambacounda,13.7539,-13.7586,86.05,19,0,6.91,SN,1675802201
262,tupsan,9.1992,124.7769,76.44,81,100,10.54,PH,1675802202
263,umba,66.6871,34.3429,35.26,87,100,13.35,RU,1675802202
264,ilulissat,69.2167,-51.1,-9.38,70,75,5.75,GL,1675801907
265,malumfashi,11.7853,7.6218,71.91,18,100,8.95,NG,1675802203
266,leduc,53.2668,-113.552,39.06,60,75,8.05,CA,1675802203
267,grindavik,63.8424,-22.4338,27.07,68,75,23.02,IS,1675802098
268,sorong,-0.8833,131.25,79.02,84,100,8.21,ID,1675801912
269,isangel,-19.55,169.2667,80.31,81,100,0.34,VU,1675802204
270,coahuayana,18.7333,-103.6833,86.41,50,5,8.19,MX,1675802204
271,bathsheba,13.2167,-59.5167,81.21,74,75,18.41,BB,1675802171
272,homer,59.6425,-151.5483,31.89,93,100,25.99,US,1675802205
273,shwebo,22.5667,95.7,62.31,40,0,5.23,MM,1675802205
274,ballina,-28.8667,153.5667,66.78,99,100,4.9,AU,1675802205
275,bandarbeyla,9.4942,50.8122,76.17,76,56,13.76,SO,1675802163
276,canon city,38.441,-105.2424,48.61,21,0,3.44,US,1675802206
277,sambava,-14.2667,50.1667,75.42,89,77,7.25,MG,1675802206
278,west bay,19.3667,-81.4167,84.27,73,40,18.41,KY,1675802206
279,sao jose da coroa grande,-8.8978,-35.1478,79.02,68,78,8.79,BR,1675802207
280,nantucket,41.2835,-70.0995,37.0,75,100,9.22,US,1675802170
281,chara,56.9064,118.2631,-11.56,79,96,2.33,RU,1675802207
282,cabo san lucas,22.8909,-109.9124,80.62,63,20,5.75,MX,1675801890
283,tuktoyaktuk,69.4541,-133.0374,-24.05,91,100,3.65,CA,1675801850
